BashRC Sourced
00:01:37 | Processed Slot: 1698 | Confirmed Slot: 1698 | Finalized Slot: 1666 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1717 | ◎499.991600000
00:01:37 | Processed Slot: 1699 | Confirmed Slot: 1699 | Finalized Slot: 1667 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1718 | ◎499.991595000
00:01:38 | Processed Slot: 1699 | Confirmed Slot: 1699 | Finalized Slot: 1667 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1718 | ◎499.991595000
00:01:38 | Processed Slot: 1700 | Confirmed Slot: 1700 | Finalized Slot: 1668 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1719 | ◎499.991590000
00:01:38 | Processed Slot: 1701 | Confirmed Slot: 1701 | Finalized Slot: 1669 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1720 | ◎499.991585000
00:01:38 | Processed Slot: 1701 | Confirmed Slot: 1701 | Finalized Slot: 1669 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1720 | ◎499.991585000
00:01:39 | Processed Slot: 1702 | Confirmed Slot: 1702 | Finalized Slot: 1670 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1721 | ◎499.991580000
00:01:39 | Processed Slot: 1702 | Confirmed Slot: 1702 | Finalized Slot: 1670 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1721 | ◎499.991580000
00:01:39 | Processed Slot: 1703 | Confirmed Slot: 1703 | Finalized Slot: 1671 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1722 | ◎499.991575000
00:01:39 | Processed Slot: 1704 | Confirmed Slot: 1704 | Finalized Slot: 1672 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1723 | ◎499.991570000
00:01:40 | Processed Slot: 1704 | Confirmed Slot: 1704 | Finalized Slot: 1672 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1723 | ◎499.991570000
00:01:40 | Processed Slot: 1705 | Confirmed Slot: 1705 | Finalized Slot: 1673 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1724 | ◎499.991565000
00:01:40 | Processed Slot: 1706 | Confirmed Slot: 1706 | Finalized Slot: 1674 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1725 | ◎499.991560000
00:01:40 | Processed Slot: 1706 | Confirmed Slot: 1706 | Finalized Slot: 1674 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1725 | ◎499.991560000
00:01:41 | Processed Slot: 1707 | Confirmed Slot: 1707 | Finalized Slot: 1675 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1726 | ◎499.991555000
00:01:41 | Processed Slot: 1707 | Confirmed Slot: 1707 | Finalized Slot: 1675 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1726 | ◎499.991555000
00:01:41 | Processed Slot: 1708 | Confirmed Slot: 1708 | Finalized Slot: 1676 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1727 | ◎499.991550000
00:01:41 | Processed Slot: 1709 | Confirmed Slot: 1709 | Finalized Slot: 1677 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1728 | ◎499.991545000
00:01:42 | Processed Slot: 1709 | Confirmed Slot: 1709 | Finalized Slot: 1677 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1728 | ◎499.991545000
00:01:42 | Processed Slot: 1710 | Confirmed Slot: 1710 | Finalized Slot: 1678 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1729 | ◎499.991540000
00:01:42 | Processed Slot: 1710 | Confirmed Slot: 1710 | Finalized Slot: 1678 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1729 | ◎499.991540000
00:01:42 | Processed Slot: 1711 | Confirmed Slot: 1711 | Finalized Slot: 1679 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1730 | ◎499.991535000
00:01:43 | Processed Slot: 1712 | Confirmed Slot: 1712 | Finalized Slot: 1680 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1731 | ◎499.991530000
00:01:43 | Processed Slot: 1712 | Confirmed Slot: 1712 | Finalized Slot: 1680 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1731 | ◎499.991530000
00:01:43 | Processed Slot: 1713 | Confirmed Slot: 1713 | Finalized Slot: 1681 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1732 | ◎499.991525000
00:01:43 | Processed Slot: 1714 | Confirmed Slot: 1713 | Finalized Slot: 1682 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1733 | ◎499.991525000
00:01:44 | Processed Slot: 1714 | Confirmed Slot: 1714 | Finalized Slot: 1682 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1733 | ◎499.991520000
00:01:44 | Processed Slot: 1715 | Confirmed Slot: 1715 | Finalized Slot: 1683 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1734 | ◎499.991515000
00:01:44 | Processed Slot: 1715 | Confirmed Slot: 1715 | Finalized Slot: 1683 | Full Snapshot Slot: 1602 | Incremental Snapshot Slot: - | Transactions: 1734 | ◎499.991515000
